"item";"price";"inventory";"serviceType"
"Air Filter";79.0;26;"ReplaceAirFilter"
"all-season tire";80.0;40;"tire change"
"Battery";90.0;46;"CheckBattery"
"Brack Pads";147.0;11;"CheckBrakePads"
"BrakeFluid/ClutchFlue";74.0;18;"RefillBrakeFluid/ClutchFlu"
"Cabin";66.0;42;"ReplaceCabin"
"Car compnent";105.0;27;"Replacement"
"Discs/Drums";190.0;33;"BrakeDiscs/Drums"
"Electric Drill";136.0;34;"CheckCoolantHoses"
"Electronic Device";140.0;2;"CheckChargingSystems"
"Engine Oil";142.0;27;"ChangeEngineOil"
"Fuel Filter";61.0;22;"ReplaceFuelFilter"
"Gear";187.0;23;"Maintenance"
"Leveler";115.0;41;"CheckLevel"
"Oil Filter";59.0;28;"ReplaceOilFilter"
"Pumper";192.0;21;"CheckCondition(tires)"
"snow tire";400.0;0;"tire change"
"Soap";119.0;39;"carWash"
"Spark Plugs";93.0;5;"ReplaceSparkPlugs"
"tires";156.0;15;"tire change"
"Tools";63.0;7;"Inspection"
